信息ID,岗位链接,搜索岗位名,岗位名称,企业名称,薪资区间,工作地点,工作经验,学历要求,岗位介绍,其他待遇,企业经营范围
1183,"https://www.liepin.com/job/1957088285.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=29&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=29
",软件测试,长安软件公司-底盘电控软件测试工程师J18512,长安汽车,11-21k·15薪,重庆-渝北区,3-5年,本科,"工作职责
1.负责底盘电控控制器软件测试体系流程制定。
2.负责底盘电控软件测试策略及测试计划的制定。
3.负责指导底盘电控控制器软件测试用例的设计及编写。
4.负责指导底盘电控控制器软件测试测试脚本的开发及更新。
5.负责指导底盘电控控制器软件测试测试执行及报告。
6.负责指导底盘电控控制器软件测试问题管理及对外接口。
任职资格
1.学历要求：大学本科及以上学历。
2.专业要求：计算机、电子、软件、车辆工程（汽车电子方向）、自动化专业优先。
3.工作经历：本科3年及以上、研究生2年及以上底盘电控产品(制动系统、转向系统或者悬架系统)相关工作经验，熟悉底盘电控领域，有国际零部件公司经验优先。
4.专业技能：
   4.1掌握Python或其他脚本语言的自动化脚本编写；
   4.2具备测试用例及脚本设计能力；
   4.3具有一定的故障分析能力；
   4.4掌握Simulink、INCA、Vector等汽车电子调试工具，熟悉C&C++，CarSim/TruckSim，Prescan等汽车仿真测试软件；
   4.5精通C语言和汇编语言，精通Makefile，熟悉编译过程；
   4.6熟悉Tasking集成开发环境、QAC/Tessy测试工具以及Lauterbach等调试工具。
5.语言要求：具有良好的英语听说读写能力，CET四级及以上，能阅读汽车、软件开发等相关英文资料。
6.综合素质：有较强的语言表达及团队协作能力，思想素质过硬，责任感强，具有较强奉献精神，业务技能、管理意识和协调能力强，并善于运用新的工作方法解决问题。
", 年终奖金 绩效奖金 住房补贴 领导好 发展空间大 公司规模大 技能培训 子女福利 优秀员工奖,"许可项目：制造、销售汽车（含轿车），制造汽车发动机系列产品。，汽车租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准） 一般项目：汽车（含小轿车）开发，汽车发动机系列产品的开发、销售，配套零部件、模具、工具的、开发，制造，销售，机械安装工程科技技术咨询服务，自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外），开发、生产、销售计算机软件、硬件产品，计算机应用技术咨询、培训，计算机网络系统设计、安装、维护,代办中国电信股份有限公司重庆分公司委托的电信业务，技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
1184,"https://www.liepin.com/job/1956280753.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=30&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=30
",软件测试,软件测试工程师 (MJ001732),keenon,15-20k,上海,3-5年,本科,"岗位职责：
1、负责产品软件功能、性能及整机系统的测试工作，对产品和项目的软件质量负责；
2、参与产品功能需求和业务逻辑评审，根据需求和业务逻辑设计测试方案和测试用例，并执行，及时汇报测试进度；
3、对测试过程中产生的bug进行跟踪与验证，推进开发进行bug修复，并验证关闭；
4、合理安排测试计划及测试重点，保质保量按时完成测试任务，输出测试结果和报告；
5、对测试工具和测试用例进行持续优化，不断提高测试效率
任职要求：
1、本科以上学历，计算机、自动化、软件相关专业，
2、 3年以上软件测试工作经验，1年以上软件性能测试经验；
2、熟练掌握软件测试理论和方法，掌握常用的测试用例设计方法；
3、熟练使用软件测试问题管理工具如Jira、禅道，熟练使用Jmeter进行性能测试；
4、具备良好的团队精神，责任心强，工作认真细致，有较强的抗压能力；
5、负责过机器人产品软件测试，APP测试，算法测试，独立承担项目软件测试工作者优先", 年终奖金 五险一金 团队聚餐 节日礼物 定期体检,许可项目：消毒器械生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：在智能机器人、教学仪器、自动化设备、环保设备、清扫设备、计算机软硬件、电子、机械专业领域内从事技术开发、技术转让、技术咨询、技术服务；专业保洁、清洗、消毒服务；自有设备租赁；第一类医疗器械生产；第一类医疗器械批发；第一类医疗器械零售；服务消费机器人制造；货物进出口、技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
1185,"https://www.liepin.com/job/1956963345.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=31&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=31
",软件测试,软件测试工程师,上海矽睿科技有限公司,12-18k·13薪,苏州-工业园区,3-5年,统招本科,"岗位职责：
•	制定整体软件测试计划，规划详细的测试方案，编写测试用例；
•	执行软件测试工作，提交测试报告；
•	根据软件测试需求搭建、维护测试环境；
•	对测试中发现的问题进行详细分析和定位，与开发人员讨论解决方案；
•	基于在线化闭环数据完成测试效率和质量持续提升工作；
•	其他，完成上级领导临时交办的工作任务；

职位要求：
•	计算机、通信、电子电气、车辆工程或相关专业； 
•	具有3年以上软件测试工作经验；
•	能够熟练使用CANoe等工具测试； 
•	具备独立搭建软件测试环境的能力；
•	具备良好的沟通能力和团队精神，学习能力强；
•	熟悉INS，IMU等各种产品优先；
", 五险一金 发展空间大 技能培训 弹性工作 带薪年假 团队聚餐 定期体检 年底双薪 午餐补助 补充医疗保险,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；集成电路芯片及产品销售；集成电路销售；集成电路芯片设计及服务；集成电路设计；半导体分立器件销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：货物进出口；技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
1186,"https://www.liepin.com/job/1956884903.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=33&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=33
",软件测试,中级软件测试工程师,卡伦特科技,10-20k,厦门-集美区,3-5年,统招本科,"【职位描述】
- 积极参与需求评审，帮助需求细节完善；
- 制订测试计划，对计划进行版本控制，保证计划的可执行性；
- 设计测试用例，进行设计用例评审；
- 执行测试用例，包括手工测试及自动化测试；
- 跟踪缺陷，产出测试报告；

【基本要求】

（一）计算机方向
- 3年以上软件测试工作经验，软件测试相关经验，有扎实的软件测试基础知识；
-能够独立配置测试环境，熟悉web后端测试
-精通软件测试流程，3年软件研发或测试相关经验；
-熟悉各种软件测试的技术、理论、方法，如白盒测试、黑盒测试，至少熟练使用1种以上的自动化测试工具，掌握Jemter、LoadRunner等基本测试工具。
-熟悉一门编程语言（c/c++/java/c#/python/vb等）
-具备良好的文档编写能力。
- 有较强的学习能力，有高度的责任心，工作态度严谨、积极主动，协调沟通能力强；


（二）工业领域方向
- 了解机械/电气/建筑制图标准，具有机械原理基础知识/电气原理图基础/建筑基础知识；
- 熟悉AutoCAD、Solidworks、Pro/Engineer、UG、天正、Revit等二维三维制图软件（其一即可）；
-3年以上工业领域设计岗位从事经历
- 有较强的学习能力，有高度的责任心，工作态度严谨、积极主动，协调沟通能力强；

【加分项】
- 熟悉常用的自动化和性能测试工具；
- 建筑、机械专业优先；", 五险一金 餐费补贴 发展空间大,一般项目：工程和技术研究和试验发展；软件开发；广告制作；软件销售；互联网销售（除销售需要许可的商品）；广告发布；广告设计、代理；自然科学研究和试验发展；信息系统集成服务；集成电路设计；信息安全设备销售；计算机软硬件及辅助设备批发；互联网设备销售；科技推广和应用服务；信息技术咨询服务；数据处理和存储支持服务；物联网应用服务；电气设备销售；机械电气设备销售；计算机软硬件及辅助设备零售；云计算设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：互联网信息服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
1187,"https://www.liepin.com/job/1949965961.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=34&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=34
",软件测试,软件测试工程师,润建股份,9-15k,北京-丰台区,3-5年,统招本科,"职责描述：
1、依据软件质量模型、平台软件需求、相关标准规范和作业指导书要求开展软件测试工作，包括需求/设计评审、制定测试计划/测试说明、编制测试用例；

2、根据软件测试相关文档开发测试脚本或测试工装，搭建测试环境，执行产品软件白盒/黑盒测试，记录测试结果，如发现异常，按异常管理要求提交异常报告并跟踪异常的解决；

3、根据测试结果进行分析、评价，编制测试总结报告。

任职要求：

1、 熟悉软件单元测试、集成测试和配置项测试方法、测试流程、测试用例设计，可独立开展软件测试工作；

2、掌握一款及以上软件测试工具，如：C++test，testbed等；

3、熟悉基本测试软件黑盒和白盒测试方法和独立的产品测试项目经验，有一定的代码审查能力。

4、具有一定开发经验C/C++，熟悉不同平台和软件的自动化测试方法，了解图像处理和识别算法，了解常用的工控通信协议，如Modbus，Can等通信协议等

5、从事DCS软件测试工作经验3年及以上。
", 五险一金 领导好 发展空间大 公司规模大 管理规范 技能培训 岗位晋升,许可项目：供电业务；输电、供电、受电电力设施的安装、维修和试验；基础电信业务；建筑智能化系统设计；特种设备安装改造修理；雷电防护装置检测；建设工程施工；建设工程设计；建筑劳务分包；测绘服务；通用航空服务；出版物批发；出版物零售；道路货物运输（不含危险货物）；劳务派遣服务；职业中介活动；第三类医疗器械经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：在线能源监测技术研发；电工仪器仪表制造；电工仪器仪表销售；智能输配电及控制设备销售；电池制造；电池销售；充电桩销售；电力设施器材销售；变压器、整流器和电感器制造；物联网技术服务；网络技术服务；信息系统运行维护服务；数据处理和存储支持服务；5G通信技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；软件开发；互联网数据服务；信息系统集成服务；计算机软硬件及辅助设备零售；技术进出口；货物进出口；软件销售；规划设计管理；广告设计、代理；机械设备销售；工程管理服务；工程和技术研究和试验发展；普通货物仓储服务（不含危险化学品等需许可审批的项目）；人力资源服务（不含职业中介活动、劳务派遣服务）；通讯设备修理；通讯设备销售；网络设备销售；光通信设备制造；光通信设备销售；仪器仪表修理；仪器仪表销售；通用设备修理；五金产品批发；电子产品销售；机械电气设备销售；集成电路销售；智能基础制造装备销售；金属结构销售；销售代理；制冷、空调设备销售；制冷、空调设备制造；机械设备租赁；移动通信设备销售；电力电子元器件制造；电力电子元器件销售；电子元器件制造；信息安全设备销售；安全技术防范系统设计施工服务；消防技术服务；移动终端设备制造；教育咨询服务（不含涉许可审批的教育培训活动）；教学专用仪器销售；数字视频监控系统销售；安防设备销售；安防设备制造；智能无人飞行器制造；智能无人飞行器销售；广播电视传输设备销售；第二类医疗器械销售；以自有资金从事投资活动（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
1188,"https://www.liepin.com/job/1940005631.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=35&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=35
",软件测试,软件测试工程师,和利时科技集团,15-25k,北京,3-5年,本科,"岗位职责：
1、负责整机产品软件测试方案的设计；
2、负责软件测试工具的开发；
3、负责软件测试用例设计及优化；
4、指导测试环境搭建；
5、组织并参与测试实施工作；
6、能独立承担产品开发测试规划工作；
任职要求：
1、统招本科及以上学历，计算机、软件工程、生物工程、基因工程、电气/电子/可编程电子系统可靠性及相关专业。
2、五年以上工作经验，三年以上软件测试工作经验；具有机电一体化、测控设备、食品、医疗或生命科学仪器行业工作经验者优先；
3、三年以上C#、C、Delphi或嵌入式软件系统测试经验，熟练使用常用数据库（如Firebird、SQL）；熟悉软件测试技术基础理论，掌握黑盒测试方法；
4、熟悉软硬件接口，具有中等规模以上软件测试方案设计和测试用例设计经验；掌握自动化测试工具，熟悉软件白盒测试方法，具有软件单元测试经验者优先考虑；
5、能独立承担产品开发测试规划工作，有测试团队领导能力；
6、积极主动、自信、乐观；具有团队精神；诚实守信；具有良好的职业道德，有良好的服务意识和敬业精神；语言表达较好，善于沟通；文案能力良好。", 年底双薪 绩效奖金 带薪年假 交通补助 通讯津贴 午餐补助 定期体检 免费班车 五险一金 优秀员工奖,自动化信息系统、仪器仪表的制造与销售；计算机软件的开发与销售；工程承包、技术转让、技术咨询、技术服务；货物与技术的进出口经营（国家限制和禁止进出口的货物和技术除外）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
1189,"https://www.liepin.com/job/1956704969.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=37&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=37
",软件测试,软件测试工程师-半导体 IC 设计行业,上海壁仞智能科技有限公司,20-40k,上海-闵行区,经验不限,本科,"角色和期望：
1. 参与软件模块和软件栈（包括驱动，应用程序/工具和固件等）的测试框架，测试策略和测试方法学的讨论和设计；
2. 负责各软件模块相关APIs，Benchmarks/Tools和系统测试的测试需求分析，测试计划制定，测试设计以及测试用例开发；
3. 负责软件模块和软件栈的全周期测试执行；测试bugs提交、跟踪，回归之至关闭；测试报告发布；
4. 支持组内组外成员以及客户软件defect的复制、定位以及解决；参与软件栈发布质量评审；
5. 支持软件栈测试流程和标准化设计, 软件质量验收标准的制定，软件栈发布质量管理；
6. 持续改进软件测试流程，加强与团队成员的合作，努力提高软件测试覆盖率和测试效率。

人才画像：
1. 5年以上测试经验，掌握软件测试全生命周期；
2. 精通软件测试需求分析，测试计划，测试设计和测试用例开发；
3. 掌握常用软件测试框架/方法学和自动化测试工具；
4. 掌握至少一种编程语言(C/C++/Python);
5.  有Linux/Unix操作系统上测试经验，熟练Linux指令；
6. 有很好的沟通和团队间协调协作能力；
有责任心，积极主动，对测试技术充满热情；
7. 有OpenCL / GPGPU/CUDA或OpenGL/OpenGLES/Vulkan/Direct3D/Metal编程经验者优先。",,智能化科技、计算机软件科技、信息科技领域内的技术开发、技术服务、技术转让，集成电路芯片设计及服务，计算机系统集成，计算机软件开发（音像制品，电子出版物除外），计算机软件（音像制品，电子出版物除外）及辅助设备的批发，佣金代理（拍卖除外）和进出口。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
1190,"https://www.liepin.com/job/1952128801.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=38&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=38
",软件测试,高级软件测试工程师 (MJ000119),英恒电子,18-35k·13薪,上海-闵行区,5-10年,本科,"岗位职责：
1.建立软件测试流程，制定测试方案和计划，完成负责项目的软件测试案例；
 2.按照测试计划组织实施软件测试：包括测试需求文档编写，测试用例设计，测试脚本执行；
 3.完整地记录测试结果，编写完整的测试报告等相关的技术文档；
 4.对测试发现的问题协助软件开发人员开展详细分析和准确定位；
 5.负责软件集成测试和功能测试;
 6.开发与设计自动化测试脚本及框架。                                                                                                                                                        

岗位要求：
1.电子类/计算机类专业，本科及以上学历； 
 2.具有5年以上汽车电子产品软件测试经验； 
 3.熟悉C、C++、Python其中一种语言，能够熟练阅读C或者Python代码；
 4.能够熟练使用Vector相关CAN工具者优先，如CANape、CANoe、CANalyzer等 ;
 5.熟悉白盒测试方法和测试工具，如QAC，Tessy等，具有嵌入式软件开发经验优先； 
 6.熟悉ASPICE或者功能安全测试流程优先； 
 7.有ADAS软件测试或者HIL台架开发经验者优先考虑 ;
 8.良好的沟通和交流能力，较强的问题发现能力，及时反馈结果并推动问题解决.
", 发展空间大 扁平管理 五险一金 年终奖金 绩效奖金 子女福利 免费班车 领导好,电子元器件、家用电器、机电设备、针纺织品、汽车零部件的销售，计算机软、硬件的开发及销售，系统集成、网络工程技术的开发，从事货物进出口及技术进出口业务，及以上相关业务的咨询服务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
1191,"https://www.liepin.com/job/1955399365.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=4&d_pageSize=40&d_headId=null&d_posi=39&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=pbk71zd0q7ip0vv8xw03x4kj0ffqzu19&sfrom=search_job_pc&curPage=4&pageSize=40&index=39
",软件测试,长安软件公司-底盘电控软件测试工程师(J18512),长安汽车,薪资面议,重庆-渝北区,3-5年,本科,"职责描述：
1.负责底盘电控控制器软件测试体系流程制定。
2.负责底盘电控软件测试策略及测试计划的制定。
3.负责指导底盘电控控制器软件测试用例的设计及编写。
4.负责指导底盘电控控制器软件测试测试脚本的开发及更新。
5.负责指导底盘电控控制器软件测试测试执行及报告。
6.负责指导底盘电控控制器软件测试问题管理及对外接口。

任职要求：
1.学历要求：大学本科及以上学历。
2.专业要求：计算机、电子、软件、车辆工程（汽车电子方向）、自动化专业优先。
3.工作经历：本科3年及以上、研究生2年及以上底盘电控产品(制动系统、转向系统或者悬架系统)相关工作经验，熟悉底盘电控领域，有国际零部件公司经验优先。
4.专业技能：
   4.1掌握Python或其他脚本语言的自动化脚本编写；
   4.2具备测试用例及脚本设计能力；
   4.3具有一定的故障分析能力；
   4.4掌握Simulink、INCA、Vector等汽车电子调试工具，熟悉C&C++，CarSim/TruckSim，Prescan等汽车仿真测试软件；
   4.5精通C语言和汇编语言，精通Makefile，熟悉编译过程；
   4.6熟悉Tasking集成开发环境、QAC/Tessy测试工具以及Lauterbach等调试工具。
5.语言要求：具有良好的英语听说读写能力，CET四级及以上，能阅读汽车、软件开发等相关英文资料。
6.综合素质：有较强的语言表达及团队协作能力，思想素质过硬，责任感强，具有较强奉献精神，业务技能、管理意识和协调能力强，并善于运用新的工作方法解决问题。", 五险一金 年终奖金 带薪年假 节日礼物 优秀员工奖 免费工作午餐 优惠购车,"许可项目：制造、销售汽车（含轿车），制造汽车发动机系列产品。，汽车租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准） 一般项目：汽车（含小轿车）开发，汽车发动机系列产品的开发、销售，配套零部件、模具、工具的、开发，制造，销售，机械安装工程科技技术咨询服务，自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外），开发、生产、销售计算机软件、硬件产品，计算机应用技术咨询、培训，计算机网络系统设计、安装、维护,代办中国电信股份有限公司重庆分公司委托的电信业务，技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
1192,"https://www.liepin.com/job/1954651199.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=5&d_pageSize=40&d_headId=null&d_posi=0&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=hpnltyroby8iaaonucx4ujk1e1tba679&sfrom=search_job_pc&curPage=5&pageSize=40&index=0
",软件测试,嵌入式软件测试开发工程师,美团,25-45k,北京,3-5年,本科,"【岗位部门】美团-到家事业群-软件测试组
【工作城市】北京
【岗位目的】负责嵌入式系统软件的测试开发与测试执行工作，以及测试工具的开发与维护。
【岗位技能】嵌入式测试，测试开发，c++测试，自动化测试开发
【岗位职责】
1.负责嵌入式软件系统测试方案的规划；
2.负责系统软件测试设计文档编写，测试用例编写，测试环境搭建，自动化测试用例开发；
3. 负责系统软件测试计划制定，测试执行工作，测试结果分析，测试报告发布；
4.负责系统软件测试工具开发；
【职位要求】
1.本科及以上学历，3年以上嵌入式软件系统测试及测试开发经验；
2.熟悉C/C++， 数据结构和设计模式，具有良好的软件工程习惯，了解python/shell等其中一种常见脚本语言。
3.熟悉通信协议tcp/udp，有MQTT/CoAP等常见物联网协议测试开发经验优先。
4.熟悉测试流程及缺陷管理流程， 了解常见的自动化测试，性能测试等工具和框架。
5.思路清晰缜密，工作细致耐心，有良好的沟通能力，善于分析和解决问题，有较强的团队协作精神和责任心；
【具备以下条件将优先考虑】
1.熟悉常用的通信接口：UART，SPI，I2C，GPIO，USB，CAN，BT/WIFI优先考虑；
2.有LINUX底层驱动（CAMERA，USB等）测试开发经验优先考虑；
3.熟悉嵌入式板bring up测试，外围传感器（radar、tof、imu、gps等）测试，HAL接口测试；
4.自动驾驶/无人机/智能硬件/航空航天等公司软件测试相关经历。
【岗位亮点】
1.项目开发难度大、软件涉及的广度和深度比较高、个人成长巨大。",,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；软件开发；信息系统集成服务；市场营销策划；社会经济咨询服务；广告设计、代理；广告制作；广告发布；供应链管理服务；软件销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第二类增值电信业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
1193,"https://www.liepin.com/job/1953928021.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=5&d_pageSize=40&d_headId=null&d_posi=2&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=hpnltyroby8iaaonucx4ujk1e1tba679&sfrom=search_job_pc&curPage=5&pageSize=40&index=2
",软件测试,软件测试主任工程师（汽车电子）,思源电气,25-30k,南京-雨花台区,5-10年,本科,"岗位描述：
1.负责软件测试平台的规划、设计和搭建；
2.负责软件测试用例的评审；
3.负责软件测试报告的评审。
任职要求：
1、精通软件测试的方法和工具；
2、熟练掌握软件测试编程能力；
3、有2年以上汽车行业的软件测试用例开发经验，有3年以上的软件测试经验；
4、有1年以上的软件开发经验；
5、了解ISO14001、ISO9001、IATF16949；
6、具有强烈的自信心、责任心；较强的表达能力、团队合作能力。
7、学历要求：本科9年/硕士6年以上工作经验",,电力自动化保护设备，电气设备，电力监测设备，电力自动化实验设备，光电设备，仪器、仪表、软件的研究、开发、生产和销售，电力自动化和电力监测领域的“四技”服务，承包与其实力、规模、业绩相适应的国外工程项目，对外派遣实施上述境外工程所需的劳务人员，实业投资，企业管理服务，自有设备租赁，从事货物和技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
1194,"https://www.liepin.com/job/1956617889.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=5&d_pageSize=40&d_headId=null&d_posi=3&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=hpnltyroby8iaaonucx4ujk1e1tba679&sfrom=search_job_pc&curPage=5&pageSize=40&index=3
",软件测试,中交信安科技（温州）有限公司 CNAS软件测试工程师,交通运输信息安全中心有限公司,8-10k,温州-龙湾区,1-3年,本科,"岗位信息
1.熟悉软件测试流程和规范，熟练掌握软件测试方法和常用测试工具，对软件测试工作有浓厚兴趣；
2.按照测试流程、计划以及对产品特性的把握，编写测试案例，确保测试目的的达成；
3.根据测试计划及测试案例，执行测试，确保在软件发布前基本排除其缺陷；
4.根据测试结果，与开发部门等反复沟通测试情况，修正测试中发现的缺陷，完善软件性能；
5.完成测试相关工具的开发。
任职资格：
1.学历要求：统招本科及以上学历，计算机软件及相关专业。
2.能力要求：
熟悉java、C/C++、Python其中一种语言，具备软件工程理论知识，精通软件测试理论及测试方法；
能够熟练书写测试脚本、测试用例，熟练使用各种测试工具；
熟悉Junit/gtest/unittest其中一种框架；
掌握自动化测试、性能测试和压力测试；
具有2年以上软件测试经验，熟悉软件第三方CNAS测试，具有软件评测师、ISTQB或CSTE证书者优先录用。
", 五险一金 带薪年假 定期体检 餐费补贴 通讯津贴 交通补助 年底双薪,互联网信息服务；信息技术服务；技术咨询；计算机信息系统集成服务；软件开发；数据处理（数据处理中的银行卡中心、PUE值在1.5以上的云计算数据中心除外）；会议服务；承办展览展示活动；销售计算机软硬件及辅助设备；技术检测（不含认证认可）；专业承包、劳务分包、施工总承包。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
1195,"https://www.liepin.com/job/1957680275.shtml?d_sfrom=search_prime&d_ckId=null&d_curPage=5&d_pageSize=40&d_headId=null&d_posi=4&skId=8vuezvv2y90wystyi9p6cmozyn5x8kta&fkId=8vuezvv2y90wystyi9p6cmozyn5x8kta&ckId=hpnltyroby8iaaonucx4ujk1e1tba679&sfrom=search_job_pc&curPage=5&pageSize=40&index=4
",软件测试,软件测试主管工程师,江苏吉麦新能源车业有限公司,20-30k,徐州-贾汪区,3-5年,大专,"岗位职责：
1.负责制定车载产品的软件测试计划，搭建软件测试环境，设计和优化测试用例，执行软件单元测试、集成测试、系统测试，发现软件缺陷、编写缺陷报告；
2.负责制定软件测试流程和测试标准，对零部件厂商的测试报告进行评估验收，或进行验收测试，跟进厂商对缺陷的修复；
3.负责形成一套测试质量体系，实现测试度量、质量管理与提升。

任职资格：
1.计算机、自动化、机械、电子信息、汽车工程等相关专业，大专以上学历；
2.具有3年以上汽车电子产品软件测试经验，熟悉主机厂软件测试要求及方法；
3.精通软件静态测试、动态测试，软件集成测试方法，对接口测试、性能测试、负载测试、故障注入、测试覆盖率等方面有丰富的经验；
4.熟悉车载产品（中控屏、摄像头、仪表、T-Box、语音模块等）的功能要求；
5.熟悉CAN/LIN总线通信知识；
6.熟悉汽车行业AUTOSAR软件架构、UDS、网络管理7.熟练使用TestBed、lauterbach,或同类静态测试、动态测试工具。
", 五险一金 带薪年假 团队聚餐 住房补贴 餐费补贴 年终奖金 免费班车 节日礼物 定期体检 午餐补助,汽车整车及配件（电池成组、车载充电机、直流转换器、电机控制器、电池管理系统）生产、销售、研发；汽车租赁；汽车销售；汽车配件批发、零售、维修；自营和代理各类商品及技术的进出口业务（国家限定或禁止进出口的商品和技术除外）。有色金属压延加工；汽车零部件及配件制造；模具制造（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：新能源汽车整车销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
